id,name,birthdate,deathdate
796,Bill Maher,1956-01-20,
797,Bill Martone,,
798,Bill Melendez,1916-11-15,2008-09-02
799,Bill Muir,,
800,Bill Murray,1950-09-21,
801,Bill Nunn,1953-10-20,2016-09-24
802,Bill Paterson,1945-06-03,
803,Bill Paxton,1955-05-17,2017-02-25
804,Bill Plympton,1946-04-30,
805,Bille August,1948-11-09,
806,Bille Woodruff,,
807,Billie Burke,1884-08-07,1970-05-14
808,Billie Whitelaw,1932-06-06,2014-12-21
809,Billy Aaron Brown,1981-07-28,
810,Billy Barty,1924-10-25,2000-12-23
811,Billy Blair,,
812,Billy Bob Thornton,1955-08-04,
813,Billy Boyd,1968-08-28,
814,Billy Brown,,
815,Billy Burke,1966-11-25,
816,Billy Campbell,1959-07-07,
817,Billy Crudup,1968-07-08,
818,Billy Drago,1945-11-30,
819,Billy Gardell,1969-08-20,
820,Billy Gilbert,1880-03-21,1971-01-20
821,Billy Kent,,
822,Billy Ray,,
823,Billy West,1952-04-16,
824,Billy Wilder,1906-06-22,2002-03-27
825,Bin Won,1977-11-10,
826,Bingbing Fan,1981-09-16,
827,Bingbing Li,1973-02-27,
828,Bipasha Basu,1979-01-07,
829,Birgitte Hjort Sørensen,1982-01-16,
830,Birol Ünel,1961-08-18,
831,Björk,,
832,Björn Hlynur Haraldsson,,
833,Bjørn Sundquist,1948-06-16,
834,Black Thomas,1969-08-28,
835,Blaine Anderson,,
836,Blair Brown,1946-04-23,
837,Blair Erickson,,
838,Blair Hayes,,
839,Blair Underwood,1964-08-25,
840,Blake Edwards,1922-07-26,2010-12-15
841,Blake Lindsley,1973-12-19,
842,Blake Ritson,1978-01-14,
843,Blanchard Ryan,1967-01-12,
844,Blaz Zavrsnik,1984-07-17,
845,Blythe Auffarth,,
846,Blythe Danner,1943-02-03,
847,Bo Huang,1974-08-26,
848,Bo Welch,1951-11-30,
849,Bo Zenga,,
850,Boaz Yakin,,
851,Bob Balaban,1945-08-16,
852,Bob Clark,1939-08-05,2007-04-04
853,Bob Clendenin,1964-04-14,
854,Bob Costas,1952-03-22,
855,Bob Dole,1923-07-22,
856,Bob Dolman,,
857,Bob Dylan,1941-05-24,
858,Bob Eubanks,1938-01-08,
859,Bob Fosse,1927-06-23,1987-09-23
860,Bob Giraldi,1939-01-17,
861,Bob Gosse,1963-01-09,
862,Bob Gunton,1945-11-15,
863,Bob Hastings,1925-04-18,2014-06-30
864,Bob Hoskins,1942-10-26,2014-04-29
865,Bob Marley,1945-02-06,1981-05-11
866,Bob Neill,,
867,Bob Newhart,1929-09-05,
868,Bob Odenkirk,1962-10-22,
869,Bob Peck,1945-08-23,1999-04-04
870,Bob Proctor,,
871,Bob Rafelson,1933-02-21,
872,Bob Ross,1908-06-26,
873,Bob Saget,1956-05-17,
874,Bob Spiers,1945-09-27,2008-12-08
875,Bobb'e J. Thompson,1996-02-28,
876,Bobbie Phillips,1968-01-29,
877,Bobby Batson,,
878,Bobby Block,1928-12-10,1972-05-13
879,Bobby Brown,,
880,Bobby Campo,1983-03-09,
881,Bobby Coleman,1997-05-05,
882,Bobby Deol,,
883,Bobby Farrelly,1958-06-17,
884,Bobby Kendall,,
885,Bobby Lee,1972-09-17,
886,Bobby Moynihan,1977-01-31,
887,Bobby Roth,,
888,Bobcat Goldthwait,1962-05-26,
889,Bojana Novakovic,1981-11-17,
890,Bokeem Woodbine,1973-04-13,
891,Bolaji Badejo,1953-08-23,1992-12-22
892,Bolo Yeung,1946-02-27,
893,Boman Irani,1959-12-02,
894,Bonnie Henna,,
895,Bonnie Hunt,1961-09-22,
896,Bonnie Lee Bouman,,
897,Bonnie Somerville,1974-02-24,
898,Bono,1960-05-10,
899,Bonz Malone,,
900,Boris Kodjoe,1973-03-08,
901,Boris Rodriguez,,
902,Boyd Banks,1964-04-16,
903,Boyd Holbrook,1981-09-01,
904,Boys II Men,1972-09-26,
905,Brad Anderson,,
906,Brad Bird,1957-09-24,
907,Brad Copeland,,
908,Brad Furman,,
909,Brad Garrett,1960-04-14,
910,Brad J. Silverman,,
911,Brad James,,
912,Brad Lee Wind,1968-04-10,
913,Brad Leland,1954-09-15,
914,Brad Peyton,,
915,Brad Pitt,1963-12-18,
916,Brad Renfro,1982-07-25,2008-01-15
917,Brad Schmidt,1979-05-31,
918,Brad Silberling,1963-09-08,
919,Brad William Henke,1966-04-10,
920,Bradley Cooper,1975-01-05,
921,Bradley Parker,,
922,Bradley Pierce,1982-10-23,
923,Bradley Rust Gray,,
924,Bradley Whitford,1959-10-10,
925,Brady Corbet,1988-08-17,
926,Braeden Lemasters,1996-01-27,
927,Brahim Achabbakhe,1984-05-17,
928,Brahmanandam,1956-02-01,
929,Brandon Camp,,
930,Brandon Cronenberg,,
931,Brandon Landers,,
932,Brandon Middleton,,
933,Brandon Molale,1971-11-24,
934,Brandon Mychal Smith,1989-05-29,
935,Brandon Smith,1989-05-29,
936,Brandon T. Jackson,1984-03-07,
937,Brandon Trost,1981-08-29,
938,Brandy Norwood,1979-02-11,
939,Branko Djuric,1962-05-28,
940,Breck Eisner,1970-12-24,
941,Breckin Meyer,1974-05-07,
942,Bree Turner,1977-03-10,
943,Bree Williamson,1979-12-28,
944,Brenda Bakke,1963-05-15,
945,Brenda Blethyn,1946-02-20,
946,Brenda Chapman,1962-11-01,
947,Brenda Fricker,1945-02-17,
948,Brenda Song,1988-03-27,
949,Brenda Strong,1960-03-25,
950,Brenda Vaccaro,1939-11-18,
951,Brendan Coyle,1963-12-02,
952,Brendan Doogie Milewski,,
953,Brendan Fehr,1977-10-29,
954,Brendan Fraser,1968-12-03,
955,Brendan Mackey,,
956,Brendan Malloy,,
957,Brendan Sexton III,1980-02-21,
958,Brendon Eggertsen,,
959,Brendon Small,1975-02-15,
960,Brent Anderson,,
961,Brent David Fraser,1967-02-21,
962,Brent Neale,1963-04-17,
963,Brent Sexton,1967-08-12,
964,Brenton Spencer,,
965,Brett Cullen,1956-08-26,
966,Brett Leonard,1959-05-14,
967,Brett Piper,,
968,Brett Ratner,1969-03-28,
969,Brett Wagner,,
970,Brian A Miller,,
971,Brian Anthony Wilson,1960-02-22,
972,Brian Austin Green,1973-07-15,
973,Brian Baugh,,
974,Brian Blessed,1936-10-09,
975,Brian Bosworth,1965-03-09,
976,Brian Caunter,,
977,Brian d'Arcy James,1968-06-29,
978,Brian Dannelly,,
979,Brian De Palma,1940-09-11,
980,Brian Dennehy,1938-07-09,
981,Brian Dietzen,1977-11-14,
982,Brian Dorton,,
983,Brian Doyle-Murray,1945-10-31,
984,Brian Eno,1948-05-15,
985,Brían F. O'Byrne,1967-05-16,
986,Brian Geraghty,1975-05-13,
987,Brian Gibson,1944-09-22,2004-01-04
988,Brian Helgeland,1961-01-17,
989,Brian Henson,1963-11-03,
990,Brian Herzlinger,1976-02-19,
991,Brian Howe,,
992,Brian Johnson,,
993,Brian Keith,1921-11-14,1997-06-24
994,Brian Klugman,1975-09-14,
995,Brian Koppelman,,
996,Brian Lee Franklin,,
997,Brian Levant,1952-08-06,
998,Brian McNamara,1960-11-21,
999,Brian O'Halloran,1969-12-20,
1000,Brian Percival,,
1001,Brian Robbins,1963-11-22,
1002,Brian Steele,,
1003,Brian Stepanek,1971-02-06,
1004,Brian Thompson,1959-08-28,
1005,Brian Trenchard-Smith,,
1006,Brian Van Holt,1969-07-06,
1007,Brian Whitaker,,
1008,Brian Yuzna,,
1009,Brianna Brown,1979-10-02,
1010,Brianne Brozey,1963-08-25,
1011,Bridget Fonda,1964-01-27,
1012,Bridgette Wilson-Sampras,1973-09-25,
1013,Bridgit Mendler,1992-12-18,
1014,Brighton Sharbino,,
1015,Brigitte Bardot,1934-09-28,
1016,Brigitte Helm,1906-03-17,1996-06-11
1017,Brigitte Nielsen,1963-07-15,
1018,Brion James,1975-02-04,
1019,Brit Morgan,1987-09-24,
1020,Britney Spears,1981-12-02,
1021,Britt Allcroft,1943-12-14,
1022,Britt Ekland,1942-10-06,
1023,Brittany Curran,1990-06-02,
1024,Brittany Daniel,1976-03-17,
1025,Brittney Powell,1972-03-04,
1026,Brock Baker,,
1027,Brock Peters,1927-07-02,2005-08-23
1028,Bronagh Gallagher,,
1029,Bronwen Hughes,,
1030,Brooke Bundy,1944-08-08,
1031,Brooke D'Orsay,1982-02-17,
1032,Brooke Newton,1986-06-05,
1033,Brooke Shields,1965-05-31,
1034,Brooke Smith,1967-05-22,
1035,Brooklynn Proulx,1999-04-27,
1036,Bruce Alexander,,
1037,Bruce Altman,1955-07-03,
1038,Bruce Beresford,1940-08-16,
1039,Bruce Boxleitner,1950-05-12,
1040,Bruce Campbell,1958-06-22,
1041,Bruce Davison,1946-06-28,
1042,Bruce Dellis,,
1043,Bruce Dern,1936-06-04,
1044,Bruce Dinsmore,,
1045,Bruce Gooch,,
1046,Bruce Goodchild,,
1047,Bruce Green,,
1048,Bruce Greenwood,1956-08-12,
1049,Bruce Hopkins,1955-11-25,
1050,Bruce Hunt,,
1051,Bruce Kerr,,
1052,Bruce Macdonald,1959-05-28,
1053,Bruce Malmuth,1934-02-04,2005-06-29
1054,Bruce McCulloch,1961-05-12,
1055,Bruce McDonald,1959-05-28,
1056,Bruce McGill,1950-07-11,
1057,Bruce Newbold,,
1058,Bruce Paltrow,1943-11-26,2002-10-03
1059,Bruce Payne,1958-11-22,
1060,Bruce Spence,1945-09-17,
1061,Bruce Thomas,,
1062,Bruce Vilanch,1948-11-23,
1063,Bruce Willis,1955-03-19,
1064,Bruno Barreto,1955-03-16,
1065,Bruno Campos,1973-12-03,
1066,Bruno Ganz,1941-03-22,
1067,Bruno Kirby,1949-04-28,2006-08-14
1068,Bryan Barber,,
1069,Bryan Brown,1947-06-23,
1070,Bryan Callen,1967-01-26,
1071,Bryan Dick,1952-08-23,
1072,Bryan Singer,1965-09-17,
1073,Bryce Dallas Howard,1981-03-02,
1074,Bubba Smith,,
1075,Bud Cort,1948-03-29,
1076,Bunta Sugawara,1933-08-16,2014-11-28
1077,Burgess Meredith,1907-11-16,1997-09-09
1078,Burghart Klaußner,1949-09-13,
1079,Burl Ives,1909-06-14,1995-04-14
1080,Burr Steers,1965-10-08,
1081,Burt Kwouk,1930-07-18,2016-05-24
1082,Burt Ward,1945-07-06,
1083,Burt Young,1940-04-30,
1084,Buster Keaton,1895-10-04,1966-02-01
1085,Busy Philipps,1979-06-25,
1086,Buzz Aldrin,1930-01-20,
1087,Byron Howard,1968-12-26,
1088,Byron Mann,,
1089,C. Fraser Press,,
1090,C. Jay Cox,,
1091,Cabrina Collesides,,
1092,Caitlin FitzGerald,,
1093,Caitlin Stasey,1990-05-01,
1094,Caitlyn Jenner,1949-10-28,
1095,Caity Lotz,1986-12-30,
1096,Cal Brunker,,
1097,Caleb Landry Jones,1989-12-07,
1098,Callie Khouri,1957-11-27,
1099,Callie Thorne,1969-11-20,
1100,Callum Blue,1977-08-19,
1101,Callum Rennie,1960-09-14,
1102,Calvin Lockhart,1934-10-18,2007-03-29
1103,Cam Clarke,1957-11-06,
1104,Cameron Boyce,1999-05-28,
1105,Cameron Bright,1993-01-26,
1106,Cameron Crowe,1957-07-13,
1107,Cameron Mills,,
1108,Cameron Monaghan,1993-08-16,
1109,Cameron Rhodes,1967-08-01,
1110,Camille Delamarre,1979-10-03,
1111,Campbell Scott,1961-07-19,
1112,Camren Bicondova,1999-05-22,
1113,Camryn Manheim,1961-03-08,
1114,Candace Kroslak,1978-07-22,
1115,Candice Bergen,1946-05-09,
1116,Cara Delevingne,1992-08-12,
1117,Cara Horgan,,
1118,Cara Seymour,,
1119,Carel Struycken,1948-07-30,
1120,Cariba Heine,1988-10-01,
1121,Carl Franklin,1949-04-11,
1122,Carl Gilliard,1958-04-18,
1123,Carl Rinsch,,
1124,Carl Theodor Dreyer,1889-02-03,1968-03-20
1125,Carl Weathers,1948-01-14,
1126,Carla Gallo,1975-06-24,
1127,Carlease Burke,,
1128,Carlo Cecchi,1939-01-25,
1129,Carlos Alazraqui,1962-07-20,
1130,Carlos Bardem,1963-03-07,
1131,Carlos Carrera,1962-08-18,
1132,Carlos Gallardo,,
1133,Carlos Lasarte,1941-09-14,
1134,Carlos Ponce,1972-09-04,
1135,Carlos Saldanha,1965-01-24,
1136,Carlos Saura,1932-01-04,
1137,Carly Schroeder,1990-10-18,
1138,Carmen Argenziano,1943-10-27,
1139,Carmen Ejogo,1973-10-22,
1140,Carmen Electra,1972-04-20,
1141,Carmen Marron,,
1142,Carmen Maura,1945-09-15,
1143,Carmen Perez,,
1144,Carmine Giovinazzo,1973-08-24,
1145,Carol Ann Susi,1952-02-02,2014-11-11
1146,Carol Block,,
1147,Carol Channing,1921-01-31,
1148,Carol Kane,1952-06-18,
1149,Carol Reed,1906-12-30,1976-04-25
1150,Carol Sutton,,
1151,Carole Bouquet,1957-08-18,
1152,Caroline Dhavernas,1978-05-15,
1153,Caroline Goodall,1959-11-13,
1154,Caroline Link,1964-06-02,
1155,Caroline Munro,1949-01-16,
1156,Caroline Rhea,1964-04-13,
1157,Caroll Spinney,1933-12-26,
1158,Carolyn Hennesy,1962-06-10,
1159,Carrie Bradstreet,,
1160,Carrie Henn,1976-05-07,
1161,Carrie Preston,1967-06-21,
1162,Carroll Baker,1931-05-28,
1163,Carroll Ballard,1937-10-14,
1164,Carroll O'Connor,1924-08-02,2001-06-21
1165,Carter Jenkins,1991-09-04,
1166,Carter Smith,1971-09-06,
1167,Cary Bell,,
1168,Cary-Hiroyuki Tagawa,1950-09-27,
1169,Caryn Waechter,,
1170,Cas Anvar,,
1171,Casey Affleck,1975-08-12,
1172,Casey Gooden,,
1173,Casey Kasem,1932-04-27,2014-06-15
1174,Casey Siemaszko,1961-03-17,
1175,Casper Christensen,1968-08-22,
1176,Casper Crump,1977-07-11,
1177,Casper Martinez,,
1178,Cassandra Nicolaou,,
1179,Cassandra Peterson,1951-09-17,
1180,Cassandra Scerbo,1990-03-30,
1181,Cassidy Gifford,1993-08-02,
1182,Cassie Ventura,1986-08-26,
1183,Cat Ly,,
1184,Catalina Sandino Moreno,1981-04-19,
1185,Catherine Bell,1968-08-14,
1186,Catherine Deneuve,1943-10-22,
1187,Catherine Dent,1965-04-14,
1188,Catherine Dyer,,
1189,Catherine Gund,,
1190,Catherine Hardwicke,1955-10-21,
1191,Catherine Hicks,1951-08-06,
1192,Catherine Jelski,,
1193,Catherine Lambert,,
1194,Catherine Lough Haggquist,,
1195,Catherine McCormack,1972-04-03,
1196,Catherine O'Hara,1954-03-04,
1197,Catherine Owens,,
1198,Catherine Parks,1956-12-10,
1199,Catherine Schell,1944-07-17,
1200,Catherine Tate,1968-05-12,
1201,Cathryn de Prume,1964-07-04,
1202,Cathy Malkasian,,
1203,Cathy Moriarty,1960-11-29,
1204,Catriona MacColl,1954-10-03,
1205,CCH Pounder,1952-12-25,
1206,Cecelia Antoinette,,
1207,Cecil B. DeMille,1881-08-12,1959-01-21
1208,Cecil Kellaway,1893-08-22,1973-02-28
1209,Cécile De France,1975-07-17,
1210,Cecilia Pillado,,
1211,Cédric Klapisch,1961-09-04,
1212,Cedric Nicolas-Troyan,1969-03-09,
1213,Cedric the Entertainer,1964-04-24,
1214,Celeste Holm,1917-04-29,2012-07-15
1215,Celia Imrie,1952-07-15,
1216,Celia Weston,1951-12-14,
1217,Celina Beach,,
1218,Celina Jade,1985-06-10,
1219,Céline Sallette,,
1220,Cem Yilmaz,1973-04-23,
1221,Cesar Romero,1907-02-15,1994-01-01
1222,Chad Allen,1974-06-05,
1223,Chad Bishop,,
1224,Chad Hartigan,1982-08-31,
1225,Chad Kapper,,
1226,Chad L. Coleman,1974-09-06,
1227,Chad Lindberg,1976-11-01,
1228,Chad Lowe,1968-01-15,
1229,Chan-wook Park,1963-08-23,
1230,Chandler Canterbury,1998-12-15,
1231,Channing Tatum,1980-04-26,
1232,Chao-Bin Su,,
1233,Charice,1976-09-05,
1234,Charis Michelsen,1974-12-30,
1235,Charla Cochran,1968-03-28,
1236,Charles Adelman,1976-08-31,
1237,Charles Aidman,1925-01-21,1993-11-07
1238,Charles Aznavour,1924-05-22,
1239,Charles Baker,1971-02-27,
1240,Charles Binamé,,
1241,Charles Chaplin,1889-04-16,1977-12-25
1242,Charles Ferguson,1955-03-24,
1243,Charles Grodin,1935-04-21,
1244,Charles Halford,1980-02-28,
1245,Charles Herman-Wurmfeld,1966-07-05,
1246,Charles Irving Beale,,
1247,Charles Keating,1941-10-22,2014-08-08
1248,Charles King,,
1249,Charles Linton,,
1250,Charles Martin Smith,1953-10-30,
1251,Charles Martinet,,
1252,Charles Matthau,1962-12-10,
1253,Charles Mesure,1970-08-12,
1254,Charles Napier,1936-04-12,2011-10-05
1255,Charles Robert Carner,1957-04-30,
1256,Charles S. Dutton,1951-01-30,
1257,Charles Shyer,1941-10-11,
1258,Charles Stone III,,
1259,Charles T. Kanganis,,
1260,Charlie Bewley,1981-01-25,
1261,Charlie Cox,1940-10-30,
1262,Charlie Hunnam,1980-04-10,
1263,Charlie Kaufman,1958-11-19,
1264,Charlie Korsmo,1978-07-20,
1265,Charlie Levi,,
1266,Charlie McDermott,1990-04-06,
1267,Charlie Murphy,,
1268,Charlie Rowe,1942-01-05,
1269,Charlie Saxton,,
1270,Charlie Tahan,,
1271,Charlie Talbert,1978-12-13,
1272,Charlie Yeung,1974-05-23,
1273,Charlize Theron,1975-08-07,
1274,Charlotte Bøving,1964-08-15,
1275,Charlotte Le Bon,1986-09-04,
1276,Charlotte Lewis,1967-08-07,
1277,Charlotte Rae,1926-04-22,
1278,Charlotte Rampling,1946-02-05,
1279,Charlotte Stewart,1941-02-27,
1280,Charlotte Sullivan,1983-10-21,
1281,Charly Bivona,,
1282,Charlyne Yi,1986-01-04,
1283,Chase Armitage,1985-08-02,
1284,Chase Ellison,1993-09-22,
1285,Chase Masterson,1963-02-26,
1286,Chasty Ballesteros,,
1287,Chatchai Plengpanich,,
1288,Chatrichalerm Yukol,1942-11-29,
1289,Chazz Palminteri,1952-05-15,
1290,Cheech Marin,1946-07-13,
1291,Chelan Simmons,1982-10-29,
1292,Chelcie Ross,1942-10-26,
1293,Chelse Swain,1983-05-25,
1294,Chelsea Bond,,
1295,Chelsea Field,1957-05-27,
1296,Chelsea Handler,1975-02-25,
1297,Chelsey Reist,,
1298,Chemeeka Walker,,
1299,Chen Chang,1976-10-14,
1300,Chenoa Maxwell,1969-11-16,
1301,Cherami Leigh,1988-07-19,
1302,Cheri Oteri,1962-09-19,
1303,Cherry Jones,1956-11-21,
1304,Cheryl Dunye,1966-05-13,
1305,Cheryl Hines,1965-09-21,
1306,Cheryl Ladd,1951-07-12,
1307,Cheryl Penland,,
1308,Cheryl Tiegs,1947-09-25,
1309,Chester,1970-01-20,
1310,Cheyenne Haynes,1995-07-19,
1311,Cheyenne Jackson,1975-07-12,
1312,Chi Chung Lam,1976-08-16,
1313,Chi Ling Chiu,,
1314,Chi McBride,1961-09-23,
1315,Chi Muoi Lo,,
1316,Chia-Liang Liu,1936-08-01,2013-06-25
1317,Chiaki Kuriyama,1984-10-10,
1318,Chiara Caselli,1967-12-22,
1319,Chin-Chien Chang,,
1320,China Chow,1974-04-15,
1321,Ching Wan Lau,1964-02-16,
1322,Chita Rivera,1933-01-23,
1323,Chloe Bridges,1991-12-27,
1324,Chloë Grace Moretz,1997-02-10,
1325,Chloe Hollings,,
1326,Chloe Rose,1994-10-25,
1327,Chris 'Wonder' Schoeck,,
1328,Chris Andrew Ciulla,1975-07-28,
1329,Chris Atkins,,
1330,Chris Barrie,1960-03-28,
1331,Chris Bauer,1966-10-28,
1332,Chris Brochu,,
1333,Chris Brown,1989-05-05,
1334,Chris Bruno,1966-03-15,
1335,Chris Buck,,
1336,Chris Butler,,
1337,Chris Carter,1956-10-13,
1338,Chris Cleveland,,
1339,Chris Columbus,1958-09-10,
1340,Chris Cox,,
1341,Chris D'Arienzo,1972-04-14,
1342,Chris Eigeman,1965-03-01,
1343,Chris Elliott,1960-05-31,
1344,Chris Ellis,1956-04-14,
1345,Chris Evans,1981-06-13,
1346,Chris Eyre,,
1347,Chris Gauthier,1976-01-27,
1348,Chris Geere,1981-03-18,
1349,Chris Gorak,,
1350,Chris Harrison,1971-07-26,
1351,Chris Hemsworth,1983-08-11,
1352,Chris Kattan,1970-10-19,
1353,Chris Kentis,1962-10-23,
1354,Chris Klein,1979-03-14,
1355,Chris Koch,,
1356,Chris Lowell,1984-10-17,
1357,Chris Marker,1921-07-29,2012-07-29
1358,Chris Marquette,1984-10-03,
1359,Chris Miller,1975-09-23,
1360,Chris Moss,,
1361,Chris Mulkey,1948-05-03,
1362,Chris Nahon,1968-12-05,
1363,Chris New,1940-02-17,
1364,Chris Noonan,1952-11-14,
1365,Chris Noth,1954-11-13,
1366,Chris Owen,1961-09-07,
1367,Chris Paine,1980-08-26,
1368,Chris Parnell,1967-02-05,
1369,Chris Penn,1965-10-10,2006-01-24
1370,Chris Pontius,1974-07-16,
1371,Chris Roberts,,
1372,Chris Robinson,1938-11-05,
1373,Chris Rock,1965-02-07,
1374,Chris Shadley,1975-07-21,
1375,Chris Stokes,,
1376,Chris Thomas,,
1377,Chris Wedge,1957-03-20,
1378,Chris Weitz,1969-11-30,
1379,Chris Young,1957-04-28,
1380,Chris Zylka,1985-05-09,
1381,Chriss Anglin,,
1382,Christa B. Allen,1991-11-11,
1383,Christa Miller,1964-05-28,
1384,Christel Khalil,1987-11-30,
1385,Christian Alvarez,1986-07-25,
1386,Christian Alvart,1974-05-28,
1387,Christian Anderson,1932-12-26,2000-12-01
1388,Christian Bale,1974-01-30,
1389,Christian Berkel,1957-10-28,
1390,Christian Camargo,1971-07-07,
1391,Christian Campbell,1972-05-12,
1392,Christian Carion,1963-01-04,
1393,Christian Clavier,1952-05-06,
1394,Christian Clemenson,1958-03-17,
1395,Christian Ditter,,
1396,Christian Duguay,,
1397,Christian E. Christiansen,1972-12-14,
1398,Christian Kapper,,
1399,Christian Keyes,,
1400,Christian Monzon,,
1401,Christian Sesma,,
1402,Christian Stolte,1962-10-16,
1403,Christian Volckman,,
1404,Christiana Leucas,,
1405,Christie Burke,,
1406,Christina Chambers,1969-10-24,
1407,Christina Cox,1971-07-31,
1408,Christina Hart,1949-07-21,
1409,Christina Milian,1981-09-26,
1410,Christina Moore,,
1411,Christina Vidal,1981-11-18,
1412,Christine Cavanaugh,1963-08-16,2014-12-22
1413,Christine Jeffs,1963-01-29,
1414,Christine Lakin,1979-01-25,
1415,Christine Taylor,1971-07-30,
1416,Christo Jivkov,1975-02-18,
1417,Christoph Waltz,1956-10-04,
1418,Christophe Ali,,
1419,Christophe Barratier,1963-06-17,
1420,Christophe Cherki,,
1421,Christophe Gans,1960-03-11,
1422,Christopher Abbott,,
1423,Christopher Atkins,1961-02-21,
1424,Christopher B. Duncan,,
1425,Christopher Barnard,,
1426,Christopher Berry,,
1427,Christopher Cain,1943-10-29,
1428,Christopher Cousins,1960-09-27,
1429,Christopher Denham,,
1430,Christopher Erskin,,
1431,Christopher Evan Welch,1965-09-28,2013-12-02
1432,Christopher Guest,1948-02-05,
1433,Christopher Heyerdahl,1963-09-18,
1434,Christopher Hutson,,
1435,Christopher James Baker,,
1436,Christopher Judge,1964-10-13,
1437,Christopher Lambert,1957-03-29,
1438,Christopher Landon,1975-02-27,
1439,Christopher Lee,1922-05-27,2015-06-07
1440,Christopher Leitch,,
1441,Christopher M. Bessette,,
1442,Christopher Masterson,1980-01-22,
1443,Christopher McQuarrie,,
1444,Christopher Meloni,1961-04-02,
1445,Christopher Morris,1965-09-05,
1446,Christopher Nicholas Smith,,
1447,Christopher Nolan,1970-07-30,
1448,Christopher Rich,1953-09-16,
1449,Christopher Robin Miller,1969-05-29,
1450,Christopher Schmidt,,
1451,Christopher Scott Cherot,,
1452,Christopher Shea,1958-02-05,2010-08-19
1453,Christopher Simpson,1974-07-09,
1454,Christopher Smith,1962-07-17,
1455,Christopher Sommers,,
1456,Christopher Spencer,,
1457,Christopher Toler,1972-11-11,
1458,Christopher Webster,,
1459,Chrystale Wilson,,
1460,Chrystee Pharris,1976-03-07,
1461,Chuan Lu,1971-02-08,
1462,Chuck Bowman,1937-06-02,
1463,Chuck Mitchell,1927-11-28,1992-06-22
1464,Chuck Russell,1958-05-09,
1465,Chuck Sheetz,1960-12-31,
1466,Chuck Zito,1953-03-01,
1467,Chulpan Khamatova,1975-10-01,
1468,Ciarán Foy,,
1469,Cicely Tyson,1924-12-18,
1470,Cinda McCain,,
1471,Cindy Robinson,1968-04-06,
1472,Cindy Williams,1947-08-22,
1473,CindyMarie Small,,
1474,Circus-Szalewski,,
1475,CJ Adams,,
1476,Cjon Saulsberry,,
1477,Claire Adams,,
1478,Claire Bloom,1931-02-15,
1479,Claire Foy,1984-04-16,
1480,Claire Geare,,
1481,Claire Gordon-Harper,,
1482,Clare Higgins,1955-11-10,
1483,Clare Kilner,,
1484,Clare Kramer,1974-09-03,
1485,Clarence Williams III,1939-08-21,
1486,Clark Baker,,
1487,Clark Gregg,1962-04-02,
1488,Clark Johnson,1954-09-10,
1489,Clarke Peters,1952-04-07,
1490,Claude Akins,1926-05-25,1994-01-27
1491,Claude Chabrol,1930-06-24,2010-09-12
1492,Claude Miller,1942-02-20,2012-04-04
1493,Claude Rains,1889-11-10,1967-05-30
1494,Claude-Oliver Rudolph,1956-11-30,
1495,Claudette Colbert,1903-09-13,1996-07-30
1496,Claudette Lalí,1975-08-01,
1497,Claudia Cardinale,1938-04-15,
1498,Claudia Christian,1965-08-10,
1499,Claudia Ferri,,
1500,Claudia Lapacó,1940-06-25,
1501,Claudia Llosa,1976-11-15,
1502,Claudia Sainte-Luce,,
1503,Claudia Stedelin,,
1504,Claudiu Trandafir,1963-09-15,
1505,Clay Kaytis,,
1506,Clayne Crawford,1978-04-20,
1507,Clayton Rohner,1957-08-05,
1508,Clayton Snyder,1987-09-09,
1509,Clé Bennett,1950-03-18,
1510,Clea DuVall,1977-09-25,
1511,Cleavon Little,1939-06-01,1992-10-22
1512,Clemens Schick,1972-02-15,
1513,Cliff Edwards,1895-06-14,1971-07-17
1514,Cliff Robertson,1923-09-09,2011-09-10
1515,Clifton Collins Jr.,1970-06-16,
1516,Clifton James,1955-01-13,
1517,Clifton Powell,1956-03-16,
1518,Clint Eastwood,1930-05-31,
1519,Clint Howard,1959-04-20,
1520,Clint Jordan,,
1521,Clint Jung,,
1522,Clint Mansell,1963-01-07,
1523,Clive Barker,1952-10-05,
1524,Clive Revill,1930-04-18,
1525,Clive Russell,1945-12-07,
1526,Clive Standen,1981-07-22,
1527,Clive Swift,1936-02-09,
1528,Clotilde Hesme,1979-07-30,
1529,Clotilde Mollet,,
1530,Clovis Fouin,,
1531,Clu Gulager,1928-11-16,
1532,Clyde Kusatsu,1948-09-13,
1533,Cody Cameron,1970-10-12,
1534,Cody Howard,,
1535,Cody Linley,1989-11-20,
1536,Cole Hauser,1975-03-22,
1537,Colette Divine,,
1538,Colin Andrews,1960-09-10,
1539,Colin Farrell,1976-05-31,
1540,Colin Ferguson,1972-07-22,
1541,Colin Firth,1960-09-10,
1542,Colin Higgins,1941-07-28,1988-08-05
1543,Colin Minihan,,
1544,Colin O'Donoghue,1981-01-26,
1545,Colin Salmon,1962-12-06,
1546,Colin Stinton,1947-03-10,
1547,Colin Strause,1976-11-08,
1548,Colin Trevorrow,1976-09-13,
1549,Colleen Dewhurst,1924-06-03,1991-08-22
1550,Colleen Haskell,1976-12-06,
1551,Colleen O'Shaughnessey,1971-09-15,
1552,Collette Wolfe,1980-04-04,
1553,Collin Alfredo St. Dic,,
1554,Collin Chou,1967-08-11,
1555,Collin Joseph Neal,1985-07-05,
1556,Collin Kahey,1981-04-11,
1557,Collin Schiffli,,
